length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
17, 1, 0, 10.418, 26.147, 1.925, 36.829, 2.060, 33.283, 30.880, 0.000, 30.240, 0.000, 0.141, 18.880, 0.000, 
17, 1, 0, 10.480, 26.050, 1.667, 37.225, 1.897, 32.968, 30.720, 0.000, 30.400, 0.000, 0.122, 19.840, 0.000, 
17, 1, 0, 10.272, 25.917, 1.981, 36.952, 1.812, 32.568, 30.880, 0.000, 30.239, 0.000, 0.135, 19.520, 0.000, 
17, 1, 0, 10.767, 27.176, 1.800, 36.856, 2.348, 32.812, 30.720, 0.000, 30.400, 0.000, 0.121, 18.880, 0.000, 
17, 1, 0, 10.401, 25.837, 1.560, 37.289, 1.839, 32.823, 30.720, 0.000, 30.240, 0.000, 0.170, 19.520, 0.000, 
18, 1, 0, 11.270, 26.743, 1.563, 38.251, 1.842, 34.211, 32.640, 0.000, 31.360, 0.000, 0.136, 19.360, 0.000, 
18, 1, 0, 11.080, 26.716, 1.858, 38.885, 1.734, 34.121, 32.160, 0.000, 32.000, 0.000, 0.147, 18.880, 0.000, 
18, 1, 0, 10.694, 25.647, 1.618, 38.117, 2.457, 34.714, 32.160, 0.000, 31.520, 0.000, 0.135, 19.520, 0.000, 
18, 1, 0, 10.816, 26.768, 1.490, 38.069, 2.013, 34.712, 32.160, 0.000, 31.680, 0.000, 0.138, 18.880, 0.000, 
18, 1, 0, 10.785, 26.613, 1.836, 38.280, 2.276, 34.678, 32.000, 0.000, 31.680, 0.000, 0.161, 19.840, 0.000, 
18, 1, 0, 11.101, 27.501, 1.793, 39.016, 2.110, 34.369, 32.320, 0.000, 31.840, 0.000, 0.136, 19.840, 0.000, 
