length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
17, 4, 0, 44.317, 3426.747, 11.299, 49.130, 5.213, 47.938, 45.760, 0.000, 45.120, 0.000, 0.674, 8.960, 0.000, 
17, 4, 0, 43.271, 3440.100, 11.341, 50.131, 4.884, 46.718, 45.598, 0.000, 44.960, 0.000, 0.654, 8.960, 0.000, 
17, 4, 0, 43.804, 3444.964, 11.549, 70.888, 4.936, 46.075, 53.600, 0.000, 43.680, 0.000, 0.648, 8.320, 0.000, 
17, 4, 0, 44.362, 3428.468, 11.167, 71.704, 5.247, 45.794, 50.240, 0.000, 45.760, 0.000, 0.653, 9.120, 0.000, 
17, 4, 0, 44.939, 3425.632, 10.633, 70.162, 4.906, 46.978, 46.400, 0.000, 45.120, 0.000, 0.539, 8.960, 0.000, 
17, 4, 0, 43.570, 3441.789, 10.706, 50.439, 4.988, 46.434, 44.640, 0.000, 44.640, 0.000, 0.640, 8.800, 0.000, 
17, 4, 0, 43.624, 3422.249, 11.354, 49.278, 5.148, 45.947, 45.119, 0.000, 44.800, 0.000, 0.654, 8.640, 0.000, 
17, 4, 0, 43.681, 3420.415, 10.112, 49.396, 4.784, 47.820, 45.440, 0.000, 43.040, 0.000, 0.674, 9.440, 0.000, 
17, 4, 0, 44.348, 3438.911, 11.647, 71.943, 5.130, 45.882, 64.800, 0.000, 44.640, 0.000, 0.621, 8.640, 0.000, 
17, 4, 0, 43.259, 3425.209, 11.390, 71.265, 4.627, 45.526, 52.960, 0.000, 44.800, 0.000, 0.693, 8.480, 0.000, 
18, 4, 0, 45.822, 3463.250, 11.467, 71.837, 5.267, 49.349, 53.440, 0.000, 46.880, 0.000, 0.670, 8.640, 0.000, 
18, 4, 0, 46.563, 3460.402, 12.331, 50.951, 4.816, 48.427, 46.240, 0.000, 46.880, 0.000, 0.692, 8.160, 0.000, 
18, 4, 0, 45.494, 3478.189, 10.872, 50.816, 4.905, 46.789, 47.360, 0.000, 45.760, 0.000, 0.659, 9.120, 0.000, 
18, 4, 0, 44.999, 3466.238, 11.550, 72.173, 5.022, 62.332, 79.840, 0.000, 45.280, 0.000, 0.606, 8.000, 0.000, 
