length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, upload_device_time, blockingKernelTimeoutDetected, 
12, 1, 0, 8.396, 12.985, 6.655, 20.150, 3.994, 15.932, 14.176, 0.000, 12.320, 0.000, 6.277, 8.000, 0.000, 
12, 1, 0, 8.287, 32.850, 7.046, 19.718, 3.560, 15.911, 13.952, 0.000, 12.384, 0.000, 6.055, 7.328, 0.000, 
12, 1, 0, 8.615, 12.706, 6.633, 20.118, 4.266, 15.762, 14.336, 0.000, 12.224, 0.000, 5.521, 8.096, 0.000, 
12, 1, 0, 8.329, 12.578, 6.681, 19.891, 4.406, 16.525, 13.888, 0.000, 12.288, 0.000, 5.550, 7.904, 0.000, 
12, 1, 0, 8.260, 12.331, 6.471, 19.536, 3.680, 15.348, 14.144, 0.000, 12.384, 0.000, 6.414, 7.520, 0.000, 
12, 1, 0, 8.316, 12.427, 6.649, 19.668, 3.926, 15.340, 14.400, 0.000, 12.512, 0.000, 5.620, 6.816, 0.000, 
12, 1, 0, 8.254, 12.585, 6.626, 20.006, 4.380, 16.575, 14.304, 0.000, 12.448, 0.000, 6.371, 7.936, 0.000, 
12, 1, 0, 8.278, 12.364, 6.989, 20.451, 3.627, 15.493, 14.144, 0.000, 12.384, 0.000, 6.006, 7.456, 0.000, 
12, 1, 0, 8.210, 12.429, 6.374, 20.112, 4.097, 15.289, 14.624, 0.000, 12.416, 0.000, 5.414, 7.488, 0.000, 
12, 1, 0, 8.263, 12.589, 6.788, 20.275, 3.972, 15.693, 14.048, 0.000, 12.320, 0.000, 5.475, 7.872, 0.000, 
13, 1, 0, 8.866, 13.286, 7.142, 21.918, 4.718, 16.193, 15.392, 0.000, 13.280, 0.000, 5.741, 7.968, 0.000, 
13, 1, 0, 8.912, 13.190, 7.171, 21.016, 3.819, 16.137, 15.232, 0.000, 13.184, 0.000, 8.105, 7.552, 0.000, 
13, 1, 0, 8.834, 13.054, 7.025, 21.205, 3.969, 17.270, 15.520, 0.000, 13.248, 0.000, 6.015, 8.000, 0.000, 
13, 1, 0, 8.796, 13.246, 6.584, 20.764, 4.061, 17.266, 15.232, 0.000, 13.376, 0.000, 6.199, 8.032, 0.000, 
13, 1, 0, 8.812, 13.014, 6.569, 20.556, 4.351, 17.172, 15.168, 0.000, 13.312, 0.000, 5.828, 8.192, 0.000, 
13, 1, 0, 8.823, 13.759, 6.526, 20.502, 4.619, 17.025, 15.520, 0.000, 13.248, 0.000, 6.456, 7.968, 0.000, 
13, 1, 0, 8.817, 13.323, 6.623, 20.685, 4.152, 15.958, 15.488, 0.000, 13.280, 0.000, 6.340, 8.032, 0.000, 
13, 1, 0, 8.800, 13.531, 7.328, 21.377, 4.251, 16.176, 15.456, 0.000, 13.216, 0.000, 5.770, 7.616, 0.000, 
13, 1, 0, 8.861, 13.528, 7.324, 21.555, 3.804, 16.055, 15.360, 0.000, 13.280, 0.000, 5.628, 7.648, 0.000, 
13, 1, 0, 8.725, 13.092, 6.758, 21.473, 4.057, 16.817, 15.488, 0.000, 13.152, 0.000, 5.996, 7.968, 0.000, 
14, 1, 0, 9.772, 15.126, 7.385, 21.773, 4.142, 18.006, 16.512, 0.000, 14.080, 0.000, 6.910, 7.808, 0.000, 
14, 1, 0, 9.572, 14.743, 7.808, 22.570, 4.165, 17.111, 16.640, 0.000, 14.176, 0.000, 6.518, 8.192, 0.000, 
14, 1, 0, 9.322, 18.237, 6.962, 21.617, 4.316, 18.417, 16.352, 0.000, 14.112, 0.000, 6.417, 8.192, 0.000, 
14, 1, 0, 9.400, 14.081, 7.313, 21.878, 4.237, 17.079, 16.448, 0.000, 13.952, 0.000, 6.002, 8.160, 0.000, 
14, 1, 0, 9.359, 14.334, 6.903, 21.582, 4.391, 17.668, 16.352, 0.000, 14.048, 0.000, 6.299, 8.224, 0.000, 
14, 1, 0, 9.305, 13.997, 6.950, 21.808, 4.218, 18.384, 16.480, 0.000, 14.016, 0.000, 6.157, 7.840, 0.000, 
14, 1, 0, 9.304, 13.906, 7.276, 22.422, 9.100, 16.954, 16.544, 0.000, 14.240, 0.000, 6.979, 9.248, 1.000, 
14, 1, 0, 10.056, 15.240, 7.339, 21.857, 4.244, 17.524, 16.256, 0.000, 14.144, 0.000, 7.083, 8.576, 0.000, 
14, 1, 0, 9.817, 15.239, 7.849, 23.003, 4.158, 17.108, 16.480, 0.000, 14.144, 0.000, 6.444, 8.288, 0.000, 
14, 1, 0, 9.802, 14.918, 6.922, 21.428, 4.249, 17.639, 16.352, 0.000, 14.400, 0.000, 6.165, 8.160, 0.000, 
15, 1, 0, 10.530, 16.415, 7.476, 22.605, 4.241, 18.128, 18.048, 0.000, 14.912, 0.000, 6.508, 8.128, 0.000, 
15, 1, 0, 10.429, 16.062, 7.663, 22.626, 4.377, 23.875, 17.664, 0.000, 15.104, 0.000, 6.468, 8.032, 0.000, 
15, 1, 0, 9.927, 15.244, 7.398, 22.803, 4.102, 18.930, 17.632, 0.000, 15.168, 0.000, 6.684, 8.384, 0.000, 
15, 1, 0, 9.954, 15.150, 6.896, 22.589, 4.319, 18.776, 17.696, 0.000, 14.976, 0.000, 6.350, 8.448, 0.000, 
15, 1, 0, 9.831, 14.946, 7.130, 22.848, 4.208, 19.065, 17.664, 0.000, 15.168, 0.000, 6.145, 8.384, 0.000, 
15, 1, 0, 9.804, 14.997, 7.319, 22.903, 4.082, 19.291, 17.280, 0.000, 15.008, 0.000, 6.003, 8.448, 0.000, 
15, 1, 0, 9.792, 18.554, 7.740, 22.492, 4.181, 18.598, 17.728, 0.000, 14.880, 0.000, 6.741, 8.000, 0.000, 
15, 1, 0, 9.870, 14.753, 6.753, 22.460, 4.085, 18.698, 17.440, 0.000, 15.200, 0.000, 6.735, 7.872, 0.000, 
15, 1, 0, 9.833, 14.922, 7.725, 23.784, 4.357, 18.457, 17.408, 0.000, 14.976, 0.000, 6.642, 7.328, 0.000, 
15, 1, 0, 10.112, 15.211, 7.568, 23.186, 4.302, 18.656, 17.408, 0.000, 15.168, 0.000, 6.487, 8.352, 0.000, 
16, 1, 0, 10.536, 16.030, 7.579, 24.349, 4.215, 19.497, 18.848, 0.000, 15.840, 0.000, 7.455, 8.160, 0.000, 
16, 1, 0, 10.656, 15.965, 8.120, 58.068, 4.497, 19.436, 19.200, 0.000, 16.064, 0.000, 7.417, 7.872, 0.000, 
16, 1, 0, 10.760, 15.651, 7.642, 24.056, 4.773, 20.184, 19.040, 0.000, 16.032, 0.000, 6.712, 8.480, 0.000, 
16, 1, 0, 10.864, 16.395, 7.825, 23.985, 4.657, 19.673, 18.848, 0.000, 16.288, 0.000, 6.596, 8.384, 0.000, 
